date,Fear_Index,Greed_Index,Greed_Fear_Score,Greed_Fear_Normalized
2024-09-29,1.9230769230769231,0.0,-1.9230769230769231,33.00709158626905
2024-10-06,0.0,0.2659574468085107,0.2659574468085107,39.603590938415785
2024-10-13,0.0,1.1329787234042554,1.1329787234042554,42.21629787807914
2024-10-20,0.0,0.13297872340425534,0.13297872340425534,39.20286901515453
2024-10-27,1.6025641025641024,0.5319148936170214,-1.070649208947081,35.575821863584764
2024-11-03,1.9230769230769231,3.2127659574468086,1.2896890343698855,42.68853325226086
2024-11-10,7.579185520361991,9.178191489361701,1.5990059689997107,43.62063783086573
2024-11-17,6.457390648567119,15.960666293393057,9.503275644825937,67.43959221234017
2024-11-24,2.083333333333333,10.107753062540297,8.024419729206965,62.98316511210717
2024-12-01,10.739441930618401,18.307543520309476,7.568101589691075,61.60808285981394
2024-12-08,5.6466817496229265,22.618203309692674,16.971521560069746,89.94462000875463
2024-12-15,4.8453996983408745,4.776595744680851,-0.06880395366002379,38.59481127205085
2024-12-22,0.0,1.9946808510638299,1.9946808510638299,44.81297594081204
2024-12-29,1.7628205128205128,3.3457446808510642,1.5829241680305515,43.572176467657464
2025-01-05,1.4423076923076923,2.837765957446808,1.3954582651391159,43.00726130507019
2025-01-12,1.7628205128205128,3.6037234042553186,1.8409028914348058,44.349576998784286
2025-01-19,6.009615384615385,17.33451536643026,11.324899981814875,72.92892756682853
2025-01-26,11.951896143072615,3.3457446808510642,-8.60615146222155,12.868121876934097
2025-02-02,8.191930618401205,4.276595744680852,-3.9153348737203535,27.003563975409122
2025-02-09,2.4038461538461537,3.3457446808510642,0.9418985270049105,41.64049129911605
2025-02-16,3.968702865761689,2.4388297872340425,-1.5298730785276464,34.19198340044676
2025-02-23,5.505279034690799,2.3218085106382977,-3.1834705240525016,29.20898513044377
2025-03-02,3.8838612368024132,3.1117021276595747,-0.7721591091428386,36.47530054563211
2025-03-09,3.968702865761689,2.9308510638297873,-1.0378518019319016,35.674654516513385
2025-03-16,1.6025641025641024,2.4308510638297873,0.8282869612656849,41.29813092775541
2025-03-23,1.7628205128205128,1.6409574468085106,-0.12186306601200214,38.43492141144823
2025-03-30,0.0,2.0558510638297873,2.0558510638297873,44.99730802551222
2025-04-06,4.788838612368024,3.2367021276595747,-1.5521364847084493,34.124894209674515
2025-04-13,0.0,0.6648936170212767,0.6648936170212767,40.80575670819954
2025-04-20,1.9230769230769231,2.830347144456887,0.9072702213799639,41.536141363471664
2025-04-27,1.4423076923076923,1.0638297872340425,-0.37847790507364976,37.66163084876511
2025-05-04,1.7628205128205128,8.595744680851064,6.8329241680305515,59.39267799801162
2025-05-11,0.0,2.8138297872340425,2.8138297872340425,47.28142298810134
2025-05-18,2.2435897435897436,2.172872340425532,-0.07071740316421149,38.58904522808718
2025-05-25,1.7628205128205128,0.6648936170212767,-1.097926895799236,35.49362249471065
2025-06-01,0.0,2.1808510638297873,2.1808510638297873,45.37398663337779
2025-06-08,2.8846153846153846,9.075812718449896,6.191197333834511,57.45887983373205
2025-06-15,6.833333333333333,6.424692049272117,-0.4086412840612157,37.57073565192064
2025-06-22,4.509615384615385,6.290313549832027,1.7806981652166423,44.168154339114
2025-06-29,4.278846153846153,10.295912653975364,6.017066500129211,56.93414895351937
2025-07-06,5.756410256410256,14.323853031999729,8.567442775589473,64.61952643330946
2025-07-13,42.22021116138763,57.71260052936984,15.492389367982206,85.4873603690371
2025-07-20,71.51934523809524,83.33712121212122,11.817775974025977,74.41417430760006
2025-07-27,88.00635638870934,75.12994587532661,-12.876410513382723,0.0
2025-08-03,31.607560331825038,44.020021039057994,12.412460707232956,76.20621444698659
2025-08-10,33.20885180995475,53.517229970477445,20.308378160522693,100.0
2025-08-17,17.681042609351433,24.694322847738302,7.013280238386869,59.936168186027004
2025-08-24,10.861425339366516,18.890490854796564,8.029065515430048,62.99716485840279
2025-08-31,9.025641025641026,22.317481930163897,13.291840904522871,78.85616411498435
2025-09-07,3.8493589743589745,7.599944008958567,3.7505850345995926,50.10426828800877
2025-09-14,6.689102564102564,16.47520699718348,9.786104433080917,68.29187664613372
2025-09-21,14.611048265460031,26.68295072788354,12.071902462423509,75.17996640257087
2025-09-28,7.100301659125188,11.739128406121687,4.638826746996498,52.78092150139917
